2.8	桥架	桥架	1.名称:梯形桥架100Wx100H\n2.材质:铝合金粉体烤漆\n3.说明:包含成品弯头及桥架施工一切主材及辅材；跨接线；支吊架；标签；施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	100*100	
3.1	线管	镀锌穿线管	1.名称:镀锌穿线管EMT PIPE 20mm(3/4")\n2.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n3.其他:详见技术规范及招标人要求	m	20mm	
3.2	线管	镀锌穿线管	1.名称:镀锌穿线管EMT PIPE 25mm(1")\n2.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n3.其他:详见技术规范及招标人要求	m	25mm	
3.3	线管	镀锌穿线管	1.名称:镀锌穿线管EMT PIPE 38mm(1-1/2")\n2.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n3.其他:详见技术规范及招标人要求	m	38mm	32mm
3.4	线管	镀锌穿线管	1.名称:镀锌穿线管EMT PIPE 51mm(2")\n2.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n3.其他:详见技术规范及招标人要求	m	51mm	
3.5	软管	包塑金属软管(波纹管)	1.名称:20mm(3/4") 包塑金属软管(波纹管)附镀锌接头\n2.材质:镀锌金属软管和PVC包覆\n3.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	20mm	
3.6	软管	包塑金属软管(波纹管)	1.名称:25mm(1") 包塑金属软管(波纹管)附镀锌接头\n2.材质:镀锌金属软管和PVC包覆\n3.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	25mm	
3.7	软管	包塑金属软管(波纹管)	1.名称:38mm(1-1/2")包塑金属软管(波纹管)附镀锌接头\n2.材质:镀锌金属软管和PVC包覆\n3.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	38mm	
3.8	软管	包塑金属软管(波纹管)	1.名称:51mm(2") 包塑金属软管(波纹管)附镀锌接头\n2.材质:镀锌金属软管和PVC包覆\n3.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	51mm	
3.9	软管	包塑金属软管(波纹管)	1.名称:75mm(3") 包塑金属软管(波纹管)附镀锌接头\n2.材质:镀锌金属软管和PVC包覆\n3.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	75mm	
